JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2025-11-09 06:44:54,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：25.8304,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C12,C18",,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,15,15 JLCPCB,0.0435
"C10,C11,C17,C2,C3,C4,C5,C6,C7,C8,C9",,0.1uF,0402,,Unconfirmed,CL05B104KB54PNC,Samsung Electro-Mechanics,0402,100nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05B104KB54PNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C307331,https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331,Basic,55,55 JLCPCB,0.22
"C13,C14",,10uF,0603,,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,10,10 JLCPCB,0.056
"C15,C16",,33pF,0402,,Select by System,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),0402,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,Basic,10,10 JLCPCB,0.01
"C19,C20",,4.7uF,0603,,Select by System,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19666,https://jlcpcb.com/partdetail/20375-CL10A475KO8NNNC/C19666,Basic,10,10 JLCPCB,0.092
"D1,D2",,LED,0402,,Unconfirmed,XL-1005UGC,XINGLIGHT,0402,-40℃~+85℃ 120° 249mcd 25mA 3V 516nm~531nm 531nm 80mW Emerald Green Water Clear op View Mount 0402 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (XL-1005UGC) of this part does not match the one (LED) provided in your BOM. Please confirm;,C965793,https://jlcpcb.com/partdetail/XINGLIGHT-XL1005UGC/C965793,Extended,22,22 JLCPCB,0.1474
J1,,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,5,5 JLCPCB,0.847
"J2,J3",,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,,Select by Customer,2.54-1*20P直针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","-40℃~+105℃ 1 1x20P 2.54mm 20P 3A Black Brass Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C50981,https://jlcpcb.com/partdetail/51993-2_54_1_20P/C50981,Extended,0,0 JLCPCB,0
J4,,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,Select by Customer,2.54-1*3P针,BOOMELE(Boom Precision Elec),"插件,P=2.54mm","-40℃~+105℃ 1 1x3P 2.54mm 2.5mm 3A 3P 3mm 6mm Black Brass Gold Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C49257,https://jlcpcb.com/partdetail/50265-2_54_1_3P/C49257,Extended,0,0 JLCPCB,0
J5,,Conn_01x02,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,Select by Customer,B2B-EH-A(LF)(SN),JST,"插件,P=2.5mm","-25℃~+85℃ 1 1x2P 2 2.5mm 250V 2P 3.8mm 3A 6mm 7.5mm Brass EH PA66 Through Hole Tin UL94V-0 White Plugin,P=2.5mm Wire To Board Connector ROHS",Wire To Board Connector,,C160262,https://jlcpcb.com/partdetail/JST-B2B_EH_A_LF_SN/C160262,Extended,9,9 JLCPCB,0.3393
"R1,R2",,5.1K,0402,,Unconfirmed,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF5101TCE) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,10,10 JLCPCB,0.005
"R3,R4",,27,0402,,Unconfirmed,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 27Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF270JTCE) of this part does not match the one (27) provided in your BOM. Please confirm;,C25100,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100,Extended,22,22 JLCPCB,0.0132
"R5,R7",,1K,0402,,Unconfirmed,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1001TCE) of this part does not match the one (1K) provided in your BOM. Please confirm;,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,10,10 JLCPCB,0.006
"R8,R9",,1.5K,0402,,Unconfirmed,0402WGF1501TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1.5kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1501TCE) of this part does not match the one (1.5K) provided in your BOM. Please confirm;,C25867,https://jlcpcb.com/partdetail/26610-0402WGF1501TCE/C25867,Basic,10,10 JLCPCB,0.006
R10,,4.12K,0402,,Unconfirmed,RC0402FR-074K12L,YAGEO,0402,-55℃~+155℃ 4.12kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (RC0402FR-074K12L) of this part does not match the one (4.12K) provided in your BOM. Please confirm;,C327340,https://jlcpcb.com/partdetail/YAGEO-RC0402FR074K12L/C327340,Extended,20,20 JLCPCB,0.006
R11,,1.18K,0402,,Unconfirmed,0402WGF1181TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1.18kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1181TCE) of this part does not match the one (1.18K) provided in your BOM. Please confirm;,C270651,https://jlcpcb.com/partdetail/260031-0402WGF1181TCE/C270651,Extended,20,20 JLCPCB,0.008
R12,,1.13K,0402,,Unconfirmed,0402WGF1131TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1.13kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1131TCE) of this part does not match the one (1.13K) provided in your BOM. Please confirm;,C67014,https://jlcpcb.com/partdetail/68102-0402WGF1131TCE/C67014,Extended,20,20 JLCPCB,0.012
"R13,R6",,10K,0402,,Unconfirmed,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,10,10 JLCPCB,0.006
SW1,,SW_Push,SW_Push_SPST_NO_Alps_SKRK,,Select by Customer,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,5,5 JLCPCB,0.2115
U1,,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,Select by Customer,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,5,5 JLCPCB,4.5825
U2,,MCP1700x-330xxTT,SOT-23,,Select by Customer,2SA812(RANGE:300-400),"Jiangsu Changjing Electronics Technology Co., Ltd.",SOT-23,"-55℃~+150℃ 1 PNP 100mA 100nA 180MHz 200mW 300mV@100mA,10mA 50V 5V 90@1mA,6V PNP SOT-23 Bipolar (BJT) ROHS",Bipolar (BJT),,C2132,https://jlcpcb.com/partdetail/2489-2SA812_RANGE_300_400/C2132,Extended,10,10 JLCPCB,0.139
U3,,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,Select by Customer,W25Q16JVUXIQ,Winbond Elec,USON-8-EP(2x3),"100,000 Cycles 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",NOR FLASH,1.The comment (W25Q16JVUXIQ) of this part does not match the one (W25Q16JVSS) provided in your BOM. Please confirm;,C2843335,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335,Extended,5,5 JLCPCB,2.8125
U4,,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,Unconfirmed,BQ24074RGTT,Texas Instruments,VQFN-16-EP(3x3),-40℃~+125℃ 1 1.5A 4.2V 4.35V~10.5V 6.5uA Charging IC Lithium Battery Support Support VQFN-16-EP(3x3) Battery Management ROHS,Battery Management,1.The comment (BQ24074RGTT) of this part does not match the one (BQ24074RGT) provided in your BOM. Please confirm;,C2861252,https://jlcpcb.com/partdetail/TexasInstruments-BQ24074RGTT/C2861252,Extended,5,5 JLCPCB,14.295
Y1,,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,Unconfirmed,DSX321G 12MHz,KDS Daishinku,SMD3225-4P,SMD3225-4P Crystals ROHS,Crystals,1.The comment (DSX321G 12MHz) of this part does not match the one (12MHz) provided in your BOM. Please confirm;,C93234,https://jlcpcb.com/partdetail/KDSDaishinku-DSX321G12MHz/C93234,Extended,5,5 JLCPCB,1.9725